Product name,Product price,Product rating,Product review/s,Product sold,Product category,Product picture,Product specsification,Product Link,Store Name,Store Location,Store rating,Store process duration,Store follower,Store Link
terlaris celana chino chinos panjang - celana kerja pria,81200,4.7,491,790,Celana Panjang,https://s3.bukalapak.com/img/3911802808/small/data.png,"['Berat:330 gram', 'Asal Barang:Lokal', 'Brand:Blackhawk', 'Merek:Hugo Boss', 'Type:Formal', 'Ukuran:S, M, L, XL']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-panjang/1ba9l2m-jual-terlaris-celana-chino-chinos-panjang-celana-kerja-pria?from=list-product&pos=10,sayurshop,Bandung,4.9,20 jam,385,https://www.bukalapak.com/u/michelfernando885
BOXER Pria Katun - Celana Pendek - Celana Boxer,30000,5.0,1,3,Celana Pendek,https://s3.bukalapak.com/img/82856804392/small/data.jpeg,"['Berat:125 gram', 'Asal Barang:Lokal', 'Brand:Lainnya', 'Merek:EDITION', 'Type:Pendek']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-pendek-2599/4g4nb8m-jual-boxer-pria-katun-celana-pendek-celana-boxer?from=list-product&pos=11,Serba Serbi  ,Bandung,5.0,18 jam,134,https://www.bukalapak.com/u/ranti_rafika
Celana Jogger Pria Joger Chino Panjang Terbaru Pants Sweatpants Cargo  Casual Original Training Sport Olahraga Terlaris Premium,160000,4.8,112,242,Celana Panjang,https://s1.bukalapak.com/img/65738640752/small/data.jpeg,"['Berat:500 gram', 'Asal Barang:Lokal', 'Brand:Lainnya', 'Type:Sweatpants', 'Ukuran:Lainnya']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-panjang/2os6vzo-jual-celana-jogger-pria-joger-chino-panjang-terbaru-pants-sweatpants-cargo-casual-original-training-sport-olahraga-terlaris-premium?from=list-product&pos=12,Ready,Bandung,4.9,1-2 hari,300,https://www.bukalapak.com/u/riadi983
Celana Jogger Pria Panjang Pendek Celana Jogger Cargo Pants Celana Joger Bikers Slimfit Celana Chino Gunung Hiking Original Terbaru,158000,4.7,46,242,Celana Panjang,https://s1.bukalapak.com/img/11364759991/small/data.jpeg,"['Berat:700 gram', 'Asal Barang:Lokal', 'Brand:Lainnya', 'Merek:BUSHIDO', 'Type:Sweatpants', 'Ukuran:28, 29, 30, 31, 32, 33, 34']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-panjang/2o5kf68-jual-celana-jogger-pria-panjang-pendek-celana-jogger-cargo-pants-celana-joger-bikers-slimfit-celana-chino-gunung-hiking-original-terbaru?from=list-product&pos=13,Ready,Bandung,4.9,1-2 hari,300,https://www.bukalapak.com/u/riadi983
celana jeans panjang sobek lutut jeans repped prua celana levis robek pria,125000,4.5,443,774,Jeans,https://s1.bukalapak.com/img/69233136292/small/data.jpeg,"['Berat:600 gram', 'Asal Barang:Lokal', 'Tipe:Skinny', 'Ukuran:28, 29, 30, 31, 32, 33, 34']",https://www.bukalapak.com/p/fashion-pria/jeans/b7farc-jual-celana-jeans-panjang-sobek-lutut-jeans-repped-prua-celana-levis-robek-pria?from=list-product&pos=14,maherols footwear,Bandung,4.95,1-2 hari,611,https://www.bukalapak.com/u/egamaher20
celana panjang chino original distro celana kerja kantor pria,135000,4.8,688,0,Celana Panjang,https://s1.bukalapak.com/img/6673587662/small/CYMERA_20170826_131202_scaled.jpg,"['Berat:600 gram', 'Asal Barang:Lokal', 'Brand:Lainnya', 'Merek:Malmo Dan Impresif', 'Type:Formal', 'Ukuran:28, 29, 30, 31, 32, 33, 34, 35, 36, Lainnya']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-panjang/isn750-jual-celana-panjang-chino-original-distro-celana-kerja-kantor-pria?from=list-product&pos=15,maherols footwear,Bandung,4.95,1-2 hari,611,https://www.bukalapak.com/u/egamaher20
Jersey Sepeda Gunung Setelan Kaos Celana Pria Outdor Bicycle Baju Sport Olahraga Best Quality Original Terlaris,183540,4.7,31,45,Jersey,https://s1.bukalapak.com/img/18060327732/small/data.jpeg,"['Berat:550 gram', 'Asal Barang:Lokal']",https://www.bukalapak.com/p/sepeda/outwear/jersey-526/3g6ebzr-jual-jersey-sepeda-gunung-setelan-kaos-celana-pria-outdor-bicycle-baju-sport-olahraga-best-quality-original-terlaris?from=list-product&pos=16,Saudagar Muda,Bandung,5.0,1-2 hari,224,https://www.bukalapak.com/u/warung_babe953
Celana jogger pria list army joger chino panjang casual skinny pensil fashion cowok termurah terlaris terbaru,145000,5.0,7,13,Celana Panjang,https://s0.bukalapak.com/img/56632479292/small/data.jpeg,"['Berat:710 gram', 'Asal Barang:Lokal', 'Brand:Lainnya', 'Merek:BUSHIDO', 'Type:Sweatpants', 'Ukuran:28, 29, 30, 31, 32, S, M, L, XL']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-panjang/2rjdg3f-jual-celana-jogger-pria-list-army-joger-chino-panjang-casual-skinny-pensil-fashion-cowok-termurah-terlaris-terbaru?from=list-product&pos=17,Saudagar Muda,Bandung,5.0,1-2 hari,224,https://www.bukalapak.com/u/warung_babe953
TERLARIS!! CELANA CHINO PRIA,99000,4.6,433,0,Celana Panjang,https://s0.bukalapak.com/img/55073626282/small/data.jpeg,"['Berat:430 gram', 'Asal Barang:Lokal', 'Brand:Lainnya', 'Type:Chino', 'Ukuran:28, 29, 30, 31, 32, 33, 34']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-panjang/e9nom-jual-terlaris-celana-chino-pria?from=list-product&pos=18,MadDenim,Bandung,4.9,1-2 hari,611,https://www.bukalapak.com/u/maddenim
celan joger cargo panjang pria jogger sweatpants pria warna hitam coklat abu cream hijau celana jogger cargo pria ukuran size S M L XL,125000,4.6,238,515,Celana Panjang,https://s2.bukalapak.com/img/7562609331/small/celan_joger_cargo_panjang_pria_jogger_sweatpants_pria_warna_.jpg,"['Berat:550 gram', 'Asal Barang:Lokal', 'Brand:Lainnya', 'Type:Sweatpants', 'Ukuran:28, 29, 30, 31, 32, 33, 34, 35']",https://www.bukalapak.com/p/fashion-pria/celana-299/celana-panjang/85uqie-jual-celan-joger-cargo-panjang-pria-jogger-sweatpants-pria-warna-hitam-coklat-abu-cream-hijau-celana-jogger-cargo-pria-ukuran-size-s-m-l-xl?from=list-product&pos=19,maherols footwear,Bandung,4.95,1-2 hari,611,https://www.bukalapak.com/u/egamaher20
